gene_name	transcript_id	consequence	start	end	frame	annotation
DNMT3A	ENST00000321117.10	missense_variant				possible pathogenic
DNMT3A	ENST00000321117.10	inframe_deletion				possible pathogenic
DNMT3A	ENST00000321117.10	inframe_insertion				possible pathogenic
DNMT3A	ENST00000321117.10	frameshift				possible pathogenic
DNMT3A	ENST00000321117.10	stop_gained				possible pathogenic
DNMT3A	ENST00000321117.10	stop_lost				possible pathogenic
ETNK1	ENST00000671733.1	missense_variant	727	734		(only known pathogenic)
ETV6	ENST00000396373.9	missense_variant				possible pathogenic
ETV6	ENST00000396373.9	inframe_insertion				possible pathogenic
ETV6	ENST00000396373.9	inframe_deletion				possible pathogenic
ETV6	ENST00000396373.9					likely pathogenic
GATA2	ENST00000341105.7	frameshift_variant	-2	871+2		pathogenic
GATA2	ENST00000341105.7	stop_gained	-2	871+2		pathogenic
GATA2	ENST00000341105.7	stop_lost	-2	871+2		pathogenic
GATA2	ENST00000341105.7	splice_donor_variant	-2	871+2		pathogenic
GATA2	ENST00000341105.7	splice_acceptor_variant	-2	871+2		pathogenic
GATA2	ENST00000341105.7					likely pathogenic
IDH1	ENST00000345146.7	missense_variant	394	395		pathogenic
IDH2	ENST00000330062.8	missense_variant	418	420		pathogenic
IDH2	ENST00000330062.8	missense_variant	514	516		pathogenic
JAK2	ENST00000381652.4	missense_variant	1514	1641		likely pathogenic
JAK2	ENST00000381652.4	inframe_insertion	1514	1641		likely pathogenic
JAK2	ENST00000381652.4	inframe_deletion	1514	1641		likely pathogenic
JAK2	ENST00000381652.4	frameshift_variant				discard
JAK2	ENST00000381652.4	stop_gained				discard
JAK2	ENST00000381652.4	stop_lost				discard
NFE2	ENST00000435572.7	frameshift_variant				likely pathogenic
NFE2	ENST00000435572.7	start_lost				likely pathogenic
NFE2	ENST00000435572.7	stop_gained				likely pathogenic
NFE2	ENST00000435572.7	stop_lost				likely pathogenic
NFE2	ENST00000435572.7					possible pathogenic
PHF6	ENST00000332070.7	start_lost				likely pathogenic
PHF6	ENST00000332070.7	stop_gained				likely pathogenic
PHF6	ENST00000332070.7	stop_lost				likely pathogenic
PHF6	ENST00000332070.7	splice_acceptor_variant				likely pathogenic
PHF6	ENST00000332070.7	splice_donor_variant				likely pathogenic
PHF6	ENST00000332070.7					possible pathogenic
PPM1D	ENST00000305921.8	frameshift_variant	1261-2	*2		pathogenic
PPM1D	ENST00000305921.8	stop_gained	1261-2	*2		pathogenic
PPM1D	ENST00000305921.8	stop_lost	1261-2	*2		pathogenic
PPM1D	ENST00000305921.8	start_lost	1261-2	*2		pathogenic
PPM1D	ENST00000305921.8	splice_acceptor_variant	1261-2	*2		pathogenic
PPM1D	ENST00000305921.8	splice_donor_variant	1261-2	*2		pathogenic
PTPN11	ENST00000351677.7	missense_variant	138	332		likely pathogenic
PTPN11	ENST00000351677.7	inframe_deletion	138	332		likely pathogenic
PTPN11	ENST00000351677.7	inframe_insertion	138	332		likely pathogenic
PTPN11	ENST00000351677.7	missense_variant	1448	1599		likely pathogenic
PTPN11	ENST00000351677.7	inframe_insertion	1448	1599		likely pathogenic
PTPN11	ENST00000351677.7	inframe_deletion	1448	1599		likely pathogenic
PTPN11	ENST00000351677.7	frameshift_variant				discard
PTPN11	ENST00000351677.7	stop_gained				discard
PTPN11	ENST00000351677.7	stop_lost				discard
SETBP1	ENST00000649279.2	missense_variant	2548	2730		possible pathogenic
SETBP1	ENST00000649279.2					discard
TET2	ENST00000380013.9	frameshift_variant				pathogenic
TET2	ENST00000380013.9	start_lost				pathogenic
TET2	ENST00000380013.9	stop_gained				pathogenic
TET2	ENST00000380013.9	start_lost				pathogenic
TET2	ENST00000380013.9	missense_variant	3310	4443		possible pathogenic (Cat. Dom)
TET2	ENST00000380013.9	missense_variant	5527	6009		possible pathogenic (Cat. Dom)
UBA1	ENST00000335972.11					discard (only known pathogenic)
WT1	ENST00000452863.10	frameshift_variant	1114	1264		pathogenic
WT1	ENST00000452863.10	start_lost	1114	1264		pathogenic
WT1	ENST00000452863.10	stop_gained	1114	1264		pathogenic
WT1	ENST00000452863.10	stop_lost	1114-2	1264+2		pathogenic
WT1	ENST00000452863.10	missense_variant	1357	1446		possible pathogenic
BCORL1	ENST00000540052.6					possible pathogenic
CUX1	ENST00000292535.12					possible pathogenic
GNB1	ENST00000378609.9					possible pathogenic
MYC	ENST00000621592.8		175	240		possible pathogenic (MYC box 1)
NF1	ENST00000358273.9					possible pathogenic
PRPF8	ENST00000304992.11					possible pathogenic
RAD21	ENST00000297338.7					possible pathogenic
